Table allocation done 1 time(s), state = INITIAL
Number of stages in table allocation: 15
  Number of stages for ingress table allocation: 15
  Number of stages for egress table allocation: 4
Critical path length through the table dependency graph: 11
Invoking table placement without container conflicts because first round of table placement required 15 stages.
Number of tables allocated: 143
+-------+-----------------+--------------------------------------------------------------+
| Stage | Min / Max Stage |                          Table Name                          |
|  10   |   [ 8, 10 ]     |             tbl_defense4_rrc_bor_sr_probe3544_0              |
|  10   |   [ 9, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3479               |
|  10   |   [ 9, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3483               |
|  10   |   [ 9, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3492               |
|  10   |   [ 9, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3497               |
|  10   |   [ 9, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3450               |
|  10   |   [ 9, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3454               |
|  10   |   [ 9, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3413               |
|  10   |   [ 9, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3417               |
|  10   |   [ 9, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3137               |
|  11   |   [ 9, 10 ]*    |              tbl_defense4_rrc_bor_sr_probe3266               |
|  11   |   [ 9, 10 ]*    |              tbl_defense4_rrc_bor_sr_probe3276               |
|  11   |   [ 9, 10 ]*    |             tbl_defense4_rrc_bor_sr_probe3276_0              |
|  11   |   [ 9, 10 ]*    |              tbl_defense4_rrc_bor_sr_probe3329               |
|  11   |   [ 9, 10 ]*    |              tbl_defense4_rrc_bor_sr_probe3333               |
|  11   |   [ 8, 10 ]*    |              tbl_defense4_rrc_bor_sr_probe3354               |
|  11   |   [ 8, 10 ]*    |              tbl_defense4_rrc_bor_sr_probe3560               |
|  11   |   [ 9, 10 ]*    |              tbl_defense4_rrc_bor_sr_probe3291               |
|  11   |   [ 9, 11 ]     |              tbl_defense4_rrc_bor_sr_probe3300               |
|  11   |   [ 8, 11 ]     |              tbl_defense4_rrc_bor_sr_probe3566               |
|  11   |   [ 8, 11 ]     |              tbl_defense4_rrc_bor_sr_probe3348               |
|  11   |   [ 9, 11 ]     |              tbl_defense4_rrc_bor_sr_probe3335               |
|  11   |   [ 9, 11 ]     |                       tbl_arm_clone_0                        |
|  11   |   [ 9, 11 ]     |              tbl_defense4_rrc_bor_sr_probe3331               |
|  11   |   [ 9, 11 ]     |                        tbl_arm_clone                         |
|  11   |   [ 9, 11 ]     |              tbl_defense4_rrc_bor_sr_probe3277               |
|  12   |   [ 9, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3145               |
|  12   |   [ 9, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3148               |
|  12   |   [ 9, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3547               |
|  12   |   [ 9, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3548               |
|  12   |   [ 8, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3369               |
|  12   |   [ 8, 11 ]*    |                       tbl_arm_clone_1                        |
|  12   |   [ 8, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3371               |
|  12   |   [ 8, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3379               |
|  12   |   [ 9, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3231               |
|  12   |   [ 9, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3232               |
|  12   |   [ 8, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3527               |
|  12   |   [ 8, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3529               |
|  12   |   [ 10, 11 ]*   |                   Ingress.tbl_tm_dispatch                    |
|  12   |   [ 10, 11 ]*   |              tbl_defense4_rrc_bor_sr_probe3576               |
|  12   |   [ 10, 11 ]*   |              tbl_defense4_rrc_bor_sr_probe3575               |
|  12   |   [ 10, 11 ]*   |              tbl_defense4_rrc_bor_sr_probe3574               |
+-------+-----------------+--------------------------------------------------------------+

NOTES:  - A '*' next to the min / max stage column indicates the table is placed outside its allowed scope

Table allocation done 3 time(s), state = REDO_PHV1
Number of stages in table allocation: 13
  Number of stages for ingress table allocation: 13
  Number of stages for egress table allocation: 3
Critical path length through the table dependency graph: 11
Invoking table placement without container conflicts because previous round of table placement took 13 stages.
Number of tables allocated: 143
+-------+-----------------+--------------------------------------------------------------+
| Stage | Min / Max Stage |                          Table Name                          |
+-------+-----------------+--------------------------------------------------------------+
|   0   |    [ -, - ]     |                  Ingress.tbl_build_exp_ack                   |
|   0   |    [ 0, 1 ]     |                     Ingress.tbl_session                      |
|   0   |    [ 0, 2 ]     |                      Ingress.tbl_params                      |
|   0   |    [ 0, 2 ]     |                           cond-93                            |
|   0   |    [ 0, 2 ]     |              tbl_defense4_rrc_bor_sr_probe2869               |
|   0   |    [ 0, 2 ]     |              tbl_defense4_rrc_bor_sr_probe2875               |
|   0   |    [ 0, 2 ]     |              tbl_defense4_rrc_bor_sr_probe2886               |
|   0   |    [ 0, 2 ]     |              tbl_defense4_rrc_bor_sr_probe2855               |
|   0   |   [ 0, 10 ]     |                           cond-171                           |
|   0   |   [ 0, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3758               |
|   0   |   [ 0, 10 ]     |                           cond-173                           |
|   0   |   [ 0, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3769               |
|   0   |   [ 0, 11 ]     |              tbl_defense4_rrc_bor_sr_probe3775               |
|   0   |   [ 0, 11 ]     |              tbl_defense4_rrc_bor_sr_probe3778               |
|   0   |   [ 0, 11 ]     |              tbl_defense4_rrc_bor_sr_probe3764               |
|   0   |   [ 0, 11 ]     |              tbl_defense4_rrc_bor_sr_probe2785               |
