Table allocation done 1 time(s), state = INITIAL
Number of stages in table allocation: 14
  Number of stages for ingress table allocation: 14
  Number of stages for egress table allocation: 4
Critical path length through the table dependency graph: 11
Invoking table placement without container conflicts because first round of table placement required 14 stages.
Number of tables allocated: 137
+-------+-----------------+--------------------------------------------------------------+
| Stage | Min / Max Stage |                          Table Name                          |
|  10   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3394             |
|  10   |   [ 8, 11 ]     |                       tbl_arm_clone_0                        |
|  10   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3396             |
|  10   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3404             |
|  11   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3361             |
|  11   |   [ 8, 11 ]     |                        tbl_arm_clone                         |
|  11   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3353             |
|  11   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3373             |
|  11   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3379             |
|  11   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3239             |
|  11   |   [ 8, 11 ]     |                       tbl_to_resp_hold                       |
|  11   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3289             |
|  11   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3300             |
|  11   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3299             |
|  11   |   [ 8, 11 ]     |            tbl_defense4_twopipe_pipe0_probe3299_0            |
|  11   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3254             |
|  11   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3255             |
|  11   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3168             |
|  11   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3171             |
|  11   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3547             |
|  12   |   [ 8, 11 ]*    |             tbl_defense4_twopipe_pipe0_probe3597             |
|  12   |   [ 9, 11 ]*    |             tbl_defense4_twopipe_pipe0_probe3577             |
|  12   |   [ 9, 11 ]*    |             tbl_defense4_twopipe_pipe0_probe3578             |
|  12   |   [ 8, 11 ]*    |             tbl_defense4_twopipe_pipe0_probe3574             |
|  12   |   [ 8, 11 ]*    |            tbl_defense4_twopipe_pipe0_probe3574_0            |
|  12   |   [ 8, 11 ]*    |             tbl_defense4_twopipe_pipe0_probe3557             |
