class,mode,txn,req_func,t_req,t_ack,t_resp,clrt_ms,req_len,resp_seg_vector,resp_total,cold
ALL,defended,162,3,1786665264.162007,1786665264.182504,1786665264.186507,4.003,45,28,28,0
ALL,defended,163,3,1786665264.192130,1786665264.212582,1786665264.216585,4.003,45,28,28,0
ALL,defended,164,3,1786665264.222207,1786665264.243148,1786665264.247149,4.001,45,28,28,0
ALL,defended,165,3,1786665264.252767,1786665264.273270,1786665264.277279,4.009,45,28,28,0
ALL,defended,166,3,1786665264.282905,1786665264.303397,1786665264.307414,4.017,45,28,28,0
ALL,defended,167,3,1786665264.313034,1786665264.333493,1786665264.337493,4.000,45,28,28,0
ALL,defended,168,3,1786665264.343082,1786665264.363988,1786665264.367990,4.002,45,28,28,0
ALL,defended,169,3,1786665264.373614,1786665264.394120,1786665264.398176,4.056,45,28,28,0
ALL,defended,170,3,1786665264.403756,1786665264.424334,1786665264.428334,4.000,45,28,28,0
ALL,defended,171,3,1786665264.433924,1786665264.455363,1786665264.459367,4.004,45,28,28,0
ALL,defended,172,3,1786665264.464988,1786665264.485470,1786665264.489473,4.003,45,28,28,0
ALL,defended,173,3,1786665264.495090,1786665264.515609,1786665264.519611,4.002,45,28,28,0
ALL,defended,174,3,1786665264.525226,1786665264.545755,1786665264.549805,4.050,45,28,28,0
ALL,defended,175,3,1786665264.555354,1786665264.576581,1786665264.580577,3.996,45,28,28,0
ALL,defended,176,3,1786665264.586189,1786665264.606693,1786665264.610701,4.008,45,28,28,0
ALL,defended,177,3,1786665264.616335,1786665264.636843,1786665264.640847,4.004,45,28,28,0
ALL,defended,178,3,1786665264.646488,1786665264.667942,1786665264.671941,3.999,45,28,28,0
ALL,defended,179,3,1786665264.677557,1786665264.698028,1786665264.702054,4.026,45,28,28,0
ALL,defended,180,3,1786665264.707681,1786665264.728183,1786665264.732188,4.005,45,28,28,0
ALL,defended,181,3,1786665264.737810,1786665264.758318,1786665264.762309,3.990,45,28,28,0
ALL,defended,182,3,1786665264.767935,1786665264.789115,1786665264.793124,4.009,45,28,28,0
ALL,defended,183,3,1786665264.798740,1786665264.819229,1786665264.823231,4.001,45,28,28,0
ALL,defended,184,3,1786665264.828837,1786665264.853403,1786665264.857421,4.018,45,28,28,0
ALL,defended,185,3,1786665264.863050,1786665264.883520,1786665264.887521,4.001,45,28,28,0
ALL,defended,186,3,1786665264.893187,1786665264.914172,1786665264.918173,4.001,45,28,28,0
ALL,defended,187,3,1786665264.923799,1786665264.944365,1786665264.948424,4.058,45,28,28,0
ALL,defended,188,3,1786665264.953988,1786665264.974513,1786665264.978505,3.992,45,28,28,0
ALL,defended,189,3,1786665264.984124,1786665265.005484,1786665265.009551,4.067,45,28,28,0
