class,mode,txn,req_func,t_req,t_ack,t_resp,clrt_ms,req_len,cold
ALL,native,242,1,1786665217.551666,1786665217.553238,1786665217.554424,1.186,20,0
ALL,native,243,1,1786665217.554763,1786665217.555378,1786665217.557560,2.182,20,0
ALL,native,244,1,1786665217.557913,1786665217.558542,1786665217.559686,1.144,20,0
ALL,native,245,1,1786665217.560019,1786665217.561593,1786665217.562764,1.172,20,0
ALL,native,246,1,1786665217.563102,1786665217.563816,1786665217.565948,2.132,20,0
ALL,native,247,1,1786665217.566300,1786665217.566858,1786665217.568075,1.217,20,0
ALL,native,248,1,1786665217.568456,1786665217.570166,1786665217.571398,1.232,20,0
ALL,native,249,1,1786665217.571736,1786665217.572247,1786665217.574596,2.350,20,0
ALL,native,250,1,1786665217.574880,1786665217.575472,1786665217.576670,1.198,20,0
ALL,native,251,1,1786665217.577003,1786665217.582681,1786665217.584017,1.336,20,0
ALL,native,252,1,1786665217.584323,1786665217.584850,1786665217.587052,2.202,20,0
ALL,native,253,1,1786665217.587409,1786665217.587959,1786665217.589287,1.328,20,0
ALL,native,254,1,1786665217.589620,1786665217.591241,1786665217.592410,1.168,20,0
ALL,native,255,1,1786665217.592739,1786665217.593327,1786665217.595468,2.141,20,0
ALL,native,256,1,1786665217.595798,1786665217.596372,1786665217.597629,1.257,20,0
ALL,native,257,1,1786665217.597957,1786665217.599803,1786665217.600926,1.124,20,0
ALL,native,258,1,1786665217.601256,1786665217.601897,1786665217.604228,2.332,20,0
ALL,native,259,1,1786665217.604555,1786665217.605138,1786665217.606409,1.271,20,0
ALL,native,260,1,1786665217.606643,1786665217.608173,1786665217.609442,1.268,20,0
ALL,native,261,1,1786665217.609776,1786665217.610301,1786665217.612517,2.216,20,0
ALL,native,262,1,1786665217.612852,1786665217.613485,1786665217.614683,1.198,20,0
ALL,native,263,1,1786665217.615021,1786665217.616537,1786665217.617786,1.249,20,0
ALL,native,264,1,1786665217.618116,1786665217.618663,1786665217.620906,2.243,20,0
ALL,native,265,1,1786665217.621239,1786665217.621761,1786665217.623037,1.276,20,0
ALL,native,266,1,1786665217.623392,1786665217.624916,1786665217.626156,1.240,20,0
ALL,native,267,1,1786665217.626494,1786665217.627017,1786665217.629754,2.737,20,0
ALL,native,268,1,1786665217.630040,1786665217.630565,1786665217.632854,2.289,20,0
ALL,native,269,1,1786665217.633187,1786665217.633815,1786665217.635015,1.199,20,0
ALL,native,270,1,1786665217.635369,1786665217.636920,1786665217.643245,6.324,20,0
ALL,native,271,1,1786665217.643576,1786665217.645219,1786665217.646407,1.188,20,0
ALL,native,272,1,1786665217.646739,1786665217.647310,1786665217.651381,4.071,20,0
ALL,native,273,1,1786665217.651712,1786665217.653404,1786665217.654639,1.235,20,0
ALL,native,274,1,1786665217.654970,1786665217.655596,1786665217.657751,2.155,20,0
ALL,native,275,1,1786665217.658083,1786665217.658862,1786665217.660006,1.144,20,0
ALL,native,276,1,1786665217.660357,1786665217.661932,1786665217.663105,1.173,20,0
ALL,native,277,1,1786665217.663452,1786665217.664084,1786665217.666404,2.320,20,0
ALL,native,278,1,1786665217.666732,1786665217.667311,1786665217.668606,1.296,20,0
ALL,native,279,1,1786665217.668935,1786665217.670547,1786665217.671678,1.131,20,0
ALL,native,280,1,1786665217.672005,1786665217.672578,1786665217.674820,2.242,20,0
ALL,native,281,1,1786665217.675155,1786665217.675792,1786665217.676939,1.147,20,0
ALL,native,282,1,1786665217.677312,1786665217.678894,1786665217.680024,1.130,20,0
ALL,native,283,1,1786665217.680382,1786665217.680991,1786665217.687113,6.122,20,0
ALL,native,284,1,1786665217.687467,1786665217.688045,1786665217.689448,1.403,20,0
ALL,native,285,1,1786665217.689782,1786665217.691457,1786665217.692636,1.180,20,0
ALL,native,286,1,1786665217.692934,1786665217.693593,1786665217.695731,2.138,20,0
ALL,native,287,1,1786665217.696064,1786665217.696709,1786665217.697860,1.151,20,0
ALL,native,288,1,1786665217.698194,1786665217.699877,1786665217.701021,1.145,20,0
ALL,native,289,1,1786665217.701377,1786665217.701937,1786665217.704190,2.253,20,0
ALL,native,290,1,1786665217.704524,1786665217.705105,1786665217.706307,1.202,20,0
