capture_epoch_index,timestamp_us,slot_offset_us,slot_name,direction,cell_index,position_in_epoch,wire_len,dst_mac,src_mac,ethertype,magic,version,policy_id,key_epoch,cell_counter,public_header_len,ciphertext_len,tag_len,protocol,outer_flow_id,fragment_flag,retry_or_error_flag
4,1800000004203500,203500,tail,forward,0,20,256,02:00:00:00:00:02,02:00:00:00:00:01,0x88b5,D4C1,1,1,1,28,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
4,1800000004203750,203750,tail,forward,1,21,256,02:00:00:00:00:02,02:00:00:00:00:01,0x88b5,D4C1,1,1,1,29,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
5,1800000005000000,0,request,forward,0,0,256,02:00:00:00:00:02,02:00:00:00:00:01,0x88b5,D4C1,1,1,1,30,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
5,1800000005000250,250,request,forward,1,1,256,02:00:00:00:00:02,02:00:00:00:00:01,0x88b5,D4C1,1,1,1,31,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
5,1800000005000500,500,request,forward,2,2,256,02:00:00:00:00:02,02:00:00:00:00:01,0x88b5,D4C1,1,1,1,32,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
5,1800000005000750,750,request,forward,3,3,256,02:00:00:00:00:02,02:00:00:00:00:01,0x88b5,D4C1,1,1,1,33,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
5,1800000005001000,1000,ack,reverse,0,4,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,80,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
5,1800000005001250,1250,ack,reverse,1,5,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,81,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
5,1800000005200000,200000,response,reverse,0,6,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,82,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
5,1800000005200250,200250,response,reverse,1,7,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,83,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
5,1800000005200500,200500,response,reverse,2,8,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,84,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
5,1800000005200750,200750,response,reverse,3,9,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,85,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
5,1800000005201000,201000,response,reverse,4,10,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,86,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
5,1800000005201250,201250,response,reverse,5,11,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,87,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
5,1800000005201500,201500,response,reverse,6,12,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,88,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
5,1800000005201750,201750,response,reverse,7,13,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,89,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
5,1800000005202000,202000,response,reverse,8,14,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,90,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
5,1800000005202250,202250,response,reverse,9,15,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,91,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
5,1800000005202500,202500,response,reverse,10,16,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,92,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
5,1800000005202750,202750,response,reverse,11,17,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,93,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
5,1800000005203000,203000,response,reverse,12,18,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,94,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
5,1800000005203250,203250,response,reverse,13,19,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,95,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
5,1800000005203500,203500,tail,forward,0,20,256,02:00:00:00:00:02,02:00:00:00:00:01,0x88b5,D4C1,1,1,1,34,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
5,1800000005203750,203750,tail,forward,1,21,256,02:00:00:00:00:02,02:00:00:00:00:01,0x88b5,D4C1,1,1,1,35,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
6,1800000006000000,0,request,forward,0,0,256,02:00:00:00:00:02,02:00:00:00:00:01,0x88b5,D4C1,1,1,1,36,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
6,1800000006000250,250,request,forward,1,1,256,02:00:00:00:00:02,02:00:00:00:00:01,0x88b5,D4C1,1,1,1,37,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
6,1800000006000500,500,request,forward,2,2,256,02:00:00:00:00:02,02:00:00:00:00:01,0x88b5,D4C1,1,1,1,38,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
6,1800000006000750,750,request,forward,3,3,256,02:00:00:00:00:02,02:00:00:00:00:01,0x88b5,D4C1,1,1,1,39,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
6,1800000006001000,1000,ack,reverse,0,4,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,96,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
6,1800000006001250,1250,ack,reverse,1,5,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,97,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
6,1800000006200000,200000,response,reverse,0,6,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,98,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
