arm,class,request_to_ack_ms,clrt_ms
timing_off,READ,0.8256,1.1310
timing_off,READ,1.5635,1.5280
timing_off,READ,0.5534,2.2370
timing_off,READ,0.6297,1.2430
timing_off,READ,1.6096,1.1250
timing_off,READ,0.6266,2.2660
timing_off,READ,0.5445,1.2300
timing_off,READ,1.6494,1.1500
timing_off,READ,0.6278,2.3670
timing_off,READ,0.5162,1.2690
timing_off,READ,1.4861,1.4480
timing_off,READ,1.6298,1.1480
timing_off,READ,0.6497,2.1060
timing_off,READ,0.5727,1.2770
timing_off,READ,1.6637,1.1570
timing_off,READ,0.6196,2.2370
timing_off,READ,0.5984,1.1830
timing_off,READ,1.6458,1.1620
timing_off,READ,0.5958,2.1150
timing_off,READ,0.6073,5.4500
timing_off,READ,1.6434,1.1580
timing_off,READ,0.5960,2.2580
timing_off,READ,0.5872,1.2110
timing_off,READ,1.5910,1.2550
timing_off,READ,0.4952,2.3360
timing_off,READ,0.5059,1.3290
timing_off,READ,1.5950,1.1890
timing_off,READ,0.5181,2.2780
timing_off,READ,0.5913,1.2480
timing_off,READ,1.5752,1.2070
timing_off,READ,0.5751,2.3800
timing_off,READ,0.6237,1.2150
timing_off,READ,1.5798,1.1710
timing_off,READ,0.6247,2.2150
timing_off,READ,0.6027,1.1860
timing_off,READ,1.5013,1.3150
timing_off,READ,0.5701,2.2280
timing_off,READ,0.5574,2.2440
timing_off,READ,0.5732,1.2210
timing_off,READ,0.5891,2.2070
timing_off,READ,0.5755,2.3710
timing_off,READ,0.6180,1.1580
timing_off,READ,1.6537,1.2170
timing_off,READ,0.5820,2.1160
timing_off,READ,0.5479,1.2640
timing_off,READ,1.6530,1.1290
timing_off,READ,0.6795,2.1320
timing_off,READ,0.6368,1.1550
timing_off,READ,1.6730,1.1410
timing_off,READ,0.5591,2.4230
timing_off,READ,0.4940,1.2800
timing_off,READ,1.5986,1.4070
timing_off,READ,0.6280,2.1210
timing_off,READ,0.6418,1.1400
timing_off,READ,1.6422,1.1610
timing_off,READ,4.7445,2.3420
timing_off,READ,0.5784,1.1760
timing_off,READ,1.5862,1.1390
timing_off,READ,0.6230,2.2360
timing_off,READ,0.6518,1.1920
timing_off,READ,1.5569,1.3230
timing_off,READ,0.5918,2.2200
timing_off,READ,0.5600,2.2300
timing_off,READ,0.5829,1.2110
timing_off,READ,0.5434,2.2420
timing_off,READ,0.6399,2.2130
timing_off,READ,0.5267,1.3020
timing_off,READ,0.5271,2.3450
timing_off,READ,0.5169,2.1730
timing_off,READ,0.5271,1.4000
timing_off,READ,1.6348,1.1540
timing_off,READ,0.8020,2.0910
timing_off,READ,0.6256,1.1370
timing_off,READ,1.7657,1.1620
timing_off,READ,0.5777,2.2850
timing_off,READ,0.5555,1.1950
timing_off,READ,1.5967,1.3860
timing_off,READ,0.6282,2.1060
timing_off,READ,0.5896,1.2130
timing_off,READ,1.6658,1.1280
timing_off,READ,0.6902,2.1260
timing_off,READ,0.6187,1.2410
timing_off,READ,1.6525,1.3170
timing_off,READ,0.5856,2.2370
timing_off,READ,0.5772,1.1920
timing_off,READ,1.6236,1.3150
timing_off,READ,0.5150,2.2370
timing_off,READ,0.6225,2.2160
timing_off,READ,0.5050,1.4670
timing_off,READ,1.6136,1.1250
timing_off,READ,0.6292,6.5170
timing_off,READ,0.5085,1.2480
timing_off,READ,1.5674,1.2470
timing_off,READ,0.5181,2.2860
timing_off,READ,0.5727,1.2280
timing_off,READ,1.5752,1.2530
timing_off,READ,0.6311,2.1660
timing_off,READ,0.5841,1.2530
timing_off,READ,1.6236,1.1860
timing_off,READ,0.5629,2.1420
timing_off,READ,0.5476,1.2660
timing_off,READ,1.8156,1.1420
timing_off,READ,0.6471,2.1070
timing_off,READ,0.7093,1.2060
timing_off,READ,1.6253,1.1500
timing_off,READ,0.6196,2.1630
timing_off,READ,0.5424,1.2440
timing_off,READ,1.5912,1.1570
timing_off,READ,0.6266,2.1380
timing_off,READ,0.6273,1.1630
timing_off,READ,1.6937,1.1270
timing_off,READ,0.5450,2.2190
timing_off,READ,0.7932,1.1700
timing_off,READ,1.5197,1.2700
timing_off,READ,0.5777,2.1790
timing_off,READ,0.5853,2.3210
timing_off,READ,0.5908,1.1920
timing_off,READ,0.5796,2.2550
timing_off,READ,0.6189,2.1720
timing_off,READ,0.6232,1.1670
timing_off,READ,1.5891,1.2010
timing_off,READ,0.6261,2.1700
timing_off,READ,0.6204,1.3160
timing_off,READ,1.5898,1.1550
timing_off,READ,0.5701,2.3230
timing_off,READ,0.5128,1.2730
timing_off,READ,5.6899,1.3920
timing_off,READ,0.5217,2.1800
timing_off,READ,0.5214,1.3210
timing_off,READ,1.6093,1.2320
timing_off,READ,0.6909,2.0950
timing_off,READ,0.5212,1.2730
timing_off,READ,1.6882,1.2220
timing_off,READ,0.6263,2.1800
timing_off,READ,0.6230,1.1440
timing_off,READ,1.7545,1.2240
timing_off,READ,0.5856,2.1620
timing_off,READ,0.6866,1.1700
timing_off,READ,1.4775,1.2520
timing_off,READ,0.5629,2.3220
timing_off,READ,0.5665,1.2630
