pcap,device_label,outstation_ip,classification,flow_id,stream,master,outstation,req_frame,req_size,req_func,first_rev_frame,first_rev_is_pure_ack,resp_frame,resp_size,resp_func,resp_flags,resp_seq,resp_ack,req_to_ack_ms,req_to_resp_ms,ack_to_resp_ms,retransmission,duplicate_ack,reset,out_of_order,note
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,196,22,1,197,False,197,54,129,0x0018,3457,1431,16.5122,16.5122,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,199,22,1,200,False,200,54,129,0x0018,3511,1453,15.9359,15.9359,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,202,22,1,203,False,203,54,129,0x0018,3565,1475,15.7201,15.7201,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,205,22,1,206,False,206,54,129,0x0018,3619,1497,15.7902,15.7902,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,208,22,1,209,False,209,54,129,0x0018,3673,1519,16.1738,16.1738,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,211,22,1,212,False,212,54,129,0x0018,3727,1541,16.0022,16.0022,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,214,22,1,215,False,215,54,129,0x0018,3781,1563,15.451,15.451,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,217,22,1,218,False,218,54,129,0x0018,3835,1585,15.4951,15.4951,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,220,22,1,221,False,221,54,129,0x0018,3889,1607,15.4982,15.4982,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,223,22,1,224,False,224,54,129,0x0018,3943,1629,17.391,17.391,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,226,22,1,227,False,227,54,129,0x0018,3997,1651,17.6501,17.6501,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,229,22,1,230,False,230,54,129,0x0018,4051,1673,17.2231,17.2231,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,232,22,1,233,False,233,54,129,0x0018,4105,1695,17.52,17.52,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,235,22,1,236,False,236,54,129,0x0018,4159,1717,17.633,17.633,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,238,22,1,239,False,239,54,129,0x0018,4213,1739,17.1139,17.1139,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,241,22,1,242,False,242,54,129,0x0018,4267,1761,16.593,16.593,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,244,22,1,245,False,245,54,129,0x0018,4321,1783,16.8431,16.8431,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,247,22,1,248,False,248,54,129,0x0018,4375,1805,16.325,16.325,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,250,22,1,251,False,251,54,129,0x0018,4429,1827,16.628,16.628,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,253,22,1,254,False,254,54,129,0x0018,4483,1849,16.4199,16.4199,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,256,22,1,257,False,257,54,129,0x0018,4537,1871,16.5019,16.5019,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,259,22,1,260,False,260,54,129,0x0018,4591,1893,16.248,16.248,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,262,22,1,263,False,263,54,129,0x0018,4645,1915,15.7828,15.7828,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,265,22,1,266,False,266,54,129,0x0018,4699,1937,16.5851,16.5851,0.0,False,False,False,False,
